Lock Chip,Over Blade,Main/Metal Blade (CX) / Blade (UX/BX),Assist Blade,Ratchet,Bit,Points,Sample Size (Win Count),Combo Rank,Rank Change,Lock Chip Usage (Sample Size),Over Blade Usage (Sample Size),Main/Metal Blade (CX) / Blade (UX/BX) Usage (Sample Size),Assist Blade Usage (Sample Size),Ratchet Usage (Sample Size),Bit Usage (Sample Size),Blade Rank,Assist Blade Rank,Ratchet Rank,Bit Rank,Combo ID,,Lock Chip Name,Lock Chip Points,,Over Blade Name,Over Blade Points,,Main/Metal Blade (CX) / Blade (UX/BX) Name,Main/Metal Blade (CX) / Blade (UX/BX) Points,,Assist Blade Name,Assist Blade Points,,Ratchet Name,Ratchet Points,,Bit Name,Bit Points
,,AeroPegasus,,7-60,Kick,2,2,119,⬇️ 10,,,178,,184,153,3,,5,5,None-None-AeroPegasus-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-70,Level,2,2,119,New,,,178,,52,153,3,,8,5,None-None-AeroPegasus-None-7-70-Level,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,1-60,Rush,2,2,119,New,,,95,91,539,256,7,1,1,3,Metal-None-Blast-Heavy-1-60-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,1-60,LowRush,2,2,119,New,,,95,91,539,366,7,1,1,1,Metal-None-Blast-Heavy-1-60-LowRush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,3-60,Rush,2,2,119,New,,,95,91,279,256,7,1,3,3,Metal-None-Blast-Heavy-3-60-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,9-60,Taper,2,2,119,New,,,95,22,383,17,7,2,2,14,Metal-None-Blast-Wheel-9-60-Taper,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,9-60,Hexa,2,2,119,New,,,95,22,383,354,7,2,2,2,Metal-None-Blast-Wheel-9-60-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,6-60,Unite,2,2,119,New,,,95,22,53,12,7,2,7,15,Metal-None-Blast-Wheel-6-60-Unite,,,,,,,,,,,,,,,,,,
,,SilverWolf,,3-60,WallBall,2,2,119,⬆️ 72,,,87,,279,10,8,,3,16,None-None-SilverWolf-None-3-60-WallBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-60,Hexa,2,2,119,⬇️ 41,,,87,,383,354,8,,2,2,None-None-SilverWolf-None-9-60-Hexa,,,,,,,,,,,,,,,,,,
,,SilverWolf,,3-60,LowOrb,2,2,119,⬇️ 61,,,87,,279,85,8,,3,8,None-None-SilverWolf-None-3-60-LowOrb,,,,,,,,,,,,,,,,,,
,,SilverWolf,,7-70,FreeBall,2,2,119,⬆️ 72,,,87,,52,197,8,,8,4,None-None-SilverWolf-None-7-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,WallBall,2,2,119,New,,,87,,49,10,8,,9,16,None-None-SilverWolf-None-9-70-WallBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,Hexa,2,2,119,New,,,87,,49,354,8,,9,2,None-None-SilverWolf-None-9-70-Hexa,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,1-60,Zap,2,2,119,New,,,104,,539,9,6,,1,17,None-None-MeteorDragoon-None-1-60-Zap,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,7-80,Level,2,2,119,New,,,104,,3,153,6,,22,5,None-None-MeteorDragoon-None-7-80-Level,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,1-60,Level,2,2,119,⬇️ 10,,,104,,539,153,6,,1,5,None-None-MeteorDragoon-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,3-60,Level,2,2,119,⬆️ 72,,,104,,279,153,6,,3,5,None-None-MeteorDragoon-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-60,Level,2,2,119,⬇️ 10,,,104,,383,153,6,,2,5,None-None-MeteorDragoon-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,1-70,Level,2,2,119,⬆️ 72,,,104,,198,153,6,,4,5,None-None-MeteorDragoon-None-1-70-Level,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,3-60,Elevate,2,2,119,⬇️ 41,,,116,,279,117,4,,3,7,None-None-CobaltDragoon-None-3-60-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,2-60,Cyclone,2,2,119,New,,,116,,4,4,4,,18,24,None-None-CobaltDragoon-None-2-60-Cyclone,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,7-60,Elevate,2,2,119,New,,,116,,184,117,4,,5,7,None-None-CobaltDragoon-None-7-60-Elevate,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,9-60,Rush,2,2,119,New,,,95,91,383,256,7,1,2,3,Plastic-None-Blast-Heavy-9-60-Rush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Wheel,9-60,Hexa,2,2,119,New,,,95,22,383,354,7,2,2,2,Plastic-None-Blast-Wheel-9-60-Hexa,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,FreeBall,2,2,119,⬆️ 72,,,50,,539,197,9,,1,4,None-None-MummyCurse-None-1-60-FreeBall,,,,,,,,,,,,,,,,,,
,,MummyCurse,,5-60,Wedge,2,2,119,⬆️ 72,,,50,,101,39,9,,6,11,None-None-MummyCurse-None-5-60-Wedge,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,LowRush,2,2,119,New,,,50,,539,366,9,,1,1,None-None-MummyCurse-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,MummyCurse,,7-60,LowOrb,2,2,119,⬆️ 72,,,50,,184,85,9,,5,8,None-None-MummyCurse-None-7-60-LowOrb,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,UnderNeedle,2,2,119,New,,,50,,539,19,9,,1,13,None-None-MummyCurse-None-1-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,MummyCurse,,7-60,FreeBall,2,2,119,⬇️ 10,,,50,,184,197,9,,5,4,None-None-MummyCurse-None-7-60-FreeBall,,,,,,,,,,,,,,,,,,
,,MummyCurse,,9-60,UnderNeedle,2,2,119,New,,,50,,383,19,9,,2,13,None-None-MummyCurse-None-9-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,Wedge,2,2,119,⬆️ 72,,,50,,539,39,9,,1,11,None-None-MummyCurse-None-1-60-Wedge,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,1-60,Kick,2,2,119,⬇️ 10,,,105,,539,153,5,,1,5,None-None-PhoenixWing-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-60,Point,2,2,119,⬇️ 10,,,105,,383,38,5,,2,12,None-None-PhoenixWing-None-9-60-Point,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Level,2,2,119,⬆️ 72,,,105,,279,153,5,,3,5,None-None-PhoenixWing-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-60,Level,2,2,119,New,,,105,,383,153,5,,2,5,None-None-PhoenixWing-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-60,Kick,2,2,119,⬇️ 10,,,105,,383,153,5,,2,5,None-None-PhoenixWing-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,7-60,Kick,2,2,119,New,,,105,,184,153,5,,5,5,None-None-PhoenixWing-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,3-60,Point,2,2,119,⬆️ 72,,,25,,279,38,12,,3,12,None-None-TyrannoBeat-None-3-60-Point,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-70,Rush,2,2,119,⬇️ 10,,,25,,198,256,12,,4,3,None-None-TyrannoBeat-None-1-70-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-70,Kick,2,2,119,⬆️ 72,,,25,,198,153,12,,4,5,None-None-TyrannoBeat-None-1-70-Kick,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,9-70,Rush,2,2,119,New,,,25,,49,256,12,,9,3,None-None-TyrannoBeat-None-9-70-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,5-60,Point,2,2,119,New,,,25,,101,38,12,,6,12,None-None-TyrannoBeat-None-5-60-Point,,,,,,,,,,,,,,,,,,
,,GolemRock,,9-60,Wedge,2,2,119,⬇️ 41,,,37,,383,39,10,,2,11,None-None-GolemRock-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,GolemRock,,3-60,Wedge,2,2,119,⬆️ 72,,,37,,279,39,10,,3,11,None-None-GolemRock-None-3-60-Wedge,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-60,Wedge,2,2,119,⬇️ 10,,,37,,539,39,10,,1,11,None-None-GolemRock-None-1-60-Wedge,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-60,Rush,2,2,119,⬆️ 72,,,37,,539,256,10,,1,3,None-None-GolemRock-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,GolemRock,,6-60,Wedge,2,2,119,⬇️ 10,,,37,,53,39,10,,7,11,None-None-GolemRock-None-6-60-Wedge,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-60,Kick,2,2,119,⬆️ 72,,,22,,383,153,13,,2,5,None-None-ScorpioSpear-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,7-60,Kick,2,2,119,New,,,22,,184,153,13,,5,5,None-None-ScorpioSpear-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,5-60,LowRush,2,2,119,⬇️ 10,,,14,,101,366,17,,6,1,None-None-SamuraiCalibur-None-5-60-LowRush,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,1-60,LowRush,2,2,119,⬆️ 72,,,14,,539,366,17,,1,1,None-None-SamuraiCalibur-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,SamuraiSteel,,1-60,UnderFlat,2,2,119,New,,,2,,539,9,41,,1,17,None-None-SamuraiSteel-None-1-60-UnderFlat,,,,,,,,,,,,,,,,,,
,,SamuraiSaber,,7-60,Level,2,2,119,New,,,7,,184,153,24,,5,5,None-None-SamuraiSaber-None-7-60-Level,,,,,,,,,,,,,,,,,,
,,SamuraiSaber,,1-60,Hexa,2,2,119,New,,,7,,539,354,24,,1,2,None-None-SamuraiSaber-None-1-60-Hexa,,,,,,,,,,,,,,,,,,
,,SharkEdge,,3-60,Rush,2,2,119,New,,,14,,279,256,17,,3,3,None-None-SharkEdge-None-3-60-Rush,,,,,,,,,,,,,,,,,,
,,SharkEdge,,1-60,LowRush,2,2,119,⬆️ 72,,,14,,539,366,17,,1,1,None-None-SharkEdge-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,SharkEdge,,3-60,LowFlat,2,2,119,New,,,14,,279,7,17,,3,20,None-None-SharkEdge-None-3-60-LowFlat,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Heavy,9-60,Kick,2,2,119,New,,,11,91,383,153,19,1,2,5,Plastic-None-Flare-Heavy-9-60-Kick,,,,,,,,,,,,,,,,,,
,,KnightMail,,7-60,LowRush,2,2,119,New,,,19,,184,366,15,,5,1,None-None-KnightMail-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,RedHulk,,1-60,LowRush,2,2,119,New,,,4,,539,366,31,,1,1,None-None-RedHulk-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,UnicornSting,,9-60,FreeBall,2,2,119,New,,,6,,383,197,25,,2,4,None-None-UnicornSting-None-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,UnicornSting,,9-60,Ball,2,2,119,⬆️ 72,,,6,,383,43,25,,2,10,None-None-UnicornSting-None-9-60-Ball,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,9-70,Rush,2,2,119,New,,,19,,49,256,15,,9,3,None-None-OrochiCluster-None-9-70-Rush,,,,,,,,,,,,,,,,,,
Metal,,Volt,Jaggy,4-50,LowRush,2,2,119,New,,,2,12,48,366,41,3,10,1,Metal-None-Volt-Jaggy-4-50-LowRush,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,9-60,LowRush,2,2,119,⬇️ 10,,,8,,383,366,21,,2,1,None-None-ImpactDrake-None-9-60-LowRush,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,3-60,Rush,2,2,119,⬇️ 10,,,20,,279,256,14,,3,3,None-None-HoverWyvern-None-3-60-Rush,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,1-60,Kick,2,2,119,New,,,20,,539,153,14,,1,5,None-None-HoverWyvern-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,WhaleWave,,5-60,Kick,2,2,119,New,,,5,,101,153,28,,6,5,None-None-WhaleWave-None-5-60-Kick,,,,,,,,,,,,,,,,,,
,,WizardArrow,,1-60,LowRush,2,2,119,New,,,3,,539,366,35,,1,1,None-None-WizardArrow-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Flat,1,1,214,New,,,472,,48,6,1,,10,21,None-None-SharkScale-None-4-50-Flat,,,,,,,,,,,,,,,,,,
,,SharkScale,,5-60,LowOrb,1,1,214,⬇️ 23,,,472,,101,85,1,,6,8,None-None-SharkScale-None-5-60-LowOrb,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-70,UnderNeedle,1,1,214,New,,,472,,52,19,1,,8,13,None-None-SharkScale-None-7-70-UnderNeedle,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,HighTaper,1,1,214,New,,,472,,48,2,1,,10,28,None-None-SharkScale-None-4-50-HighTaper,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,RubberAccel,1,1,214,⬇️ 23,,,472,,198,8,1,,4,19,None-None-SharkScale-None-1-70-RubberAccel,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-70,Ball,1,1,214,New,,,472,,52,43,1,,8,10,None-None-SharkScale-None-7-70-Ball,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,LowOrb,1,1,214,⬇️ 105,,,472,,198,85,1,,4,8,None-None-SharkScale-None-1-70-LowOrb,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,Unite,1,1,214,⬇️ 23,,,472,,198,12,1,,4,15,None-None-SharkScale-None-1-70-Unite,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-60,RubberAccel,1,1,214,⬇️ 105,,,472,,539,8,1,,1,19,None-None-SharkScale-None-1-60-RubberAccel,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,Quake,1,1,214,New,,,472,,279,1,1,,3,34,None-None-SharkScale-None-3-60-Quake,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-70,Kick,1,1,214,New,,,472,,52,153,1,,8,5,None-None-SharkScale-None-7-70-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,Hexa,1,1,214,⬇️ 136,,,472,,198,354,1,,4,2,None-None-SharkScale-None-1-70-Hexa,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,Ball,1,1,214,New,,,472,,279,43,1,,3,10,None-None-SharkScale-None-3-60-Ball,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,UnderFlat,1,1,214,New,,,472,,383,9,1,,2,17,None-None-SharkScale-None-9-60-UnderFlat,,,,,,,,,,,,,,,,,,
,,SharkScale,,6-60,Level,1,1,214,New,,,472,,53,153,1,,7,5,None-None-SharkScale-None-6-60-Level,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Hexa,1,1,214,⬇️ 23,,,472,,383,354,1,,2,2,None-None-SharkScale-None-9-60-Hexa,,,,,,,,,,,,,,,,,,
,,SharkScale,,5-60,Jolt,1,1,214,New,,,472,,101,74,1,,6,9,None-None-SharkScale-None-5-60-Jolt,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-60,FreeBall,1,1,214,⬇️ 136,,,472,,539,197,1,,1,4,None-None-SharkScale-None-1-60-FreeBall,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Taper,1,1,214,New,,,472,,383,17,1,,2,14,None-None-SharkScale-None-9-60-Taper,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-70,Orb,1,1,214,New,,,472,,49,6,1,,9,21,None-None-SharkScale-None-9-70-Orb,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,Level,1,1,214,⬇️ 156,,,472,,279,153,1,,3,5,None-None-SharkScale-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,SharkScale,,5-60,HighTaper,1,1,214,New,,,472,,101,2,1,,6,28,None-None-SharkScale-None-5-60-HighTaper,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,Orb,1,1,214,New,,,472,,198,6,1,,4,21,None-None-SharkScale-None-1-70-Orb,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Ball,1,1,214,New,,,472,,383,43,1,,2,10,None-None-SharkScale-None-9-60-Ball,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-80,LowOrb,1,1,214,New,,,472,,6,85,1,,16,8,None-None-SharkScale-None-9-80-LowOrb,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-60,Jolt,1,1,214,New,,,472,,184,74,1,,5,9,None-None-SharkScale-None-7-60-Jolt,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Unite,1,1,214,New,,,472,,383,12,1,,2,15,None-None-SharkScale-None-9-60-Unite,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Point,1,1,214,New,,,472,,48,38,1,,10,12,None-None-SharkScale-None-4-50-Point,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Level,1,1,214,New,,,472,,383,153,1,,2,5,None-None-SharkScale-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-70,LowRush,1,1,214,⬇️ 136,,,472,,13,366,1,,13,1,None-None-SharkScale-None-3-70-LowRush,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-55,Rush,1,1,214,New,,,472,,11,256,1,,14,3,None-None-SharkScale-None-4-55-Rush,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-70,FreeBall,1,1,214,New,,,472,,49,197,1,,9,4,None-None-SharkScale-None-9-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,Wedge,1,1,214,New,,,472,,198,39,1,,4,11,None-None-SharkScale-None-1-70-Wedge,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-70,Jolt,1,1,214,New,,,472,,52,74,1,,8,9,None-None-SharkScale-None-7-70-Jolt,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-60,FreeBall,1,1,214,⬇️ 23,,,472,,184,197,1,,5,4,None-None-SharkScale-None-7-60-FreeBall,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-70,Kick,1,1,214,⬇️ 156,,,447,,198,153,2,,4,5,None-None-WizardRod-None-1-70-Kick,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-70,LowOrb,1,1,214,New,,,447,,49,85,2,,9,8,None-None-WizardRod-None-9-70-LowOrb,,,,,,,,,,,,,,,,,,
,,WizardRod,,7-60,Rush,1,1,214,⬇️ 23,,,447,,184,256,2,,5,3,None-None-WizardRod-None-7-60-Rush,,,,,,,,,,,,,,,,,,
,,WizardRod,,5-60,FreeBall,1,1,214,⬇️ 105,,,447,,101,197,2,,6,4,None-None-WizardRod-None-5-60-FreeBall,,,,,,,,,,,,,,,,,,
,,WizardRod,,5-60,Elevate,1,1,214,New,,,447,,101,117,2,,6,7,None-None-WizardRod-None-5-60-Elevate,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-80,Wedge,1,1,214,New,,,447,,6,39,2,,16,11,None-None-WizardRod-None-9-80-Wedge,,,,,,,,,,,,,,,,,,
,,WizardRod,,7-60,Wedge,1,1,214,⬇️ 23,,,447,,184,39,2,,5,11,None-None-WizardRod-None-7-60-Wedge,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,UnderNeedle,1,1,214,⬇️ 23,,,447,,539,19,2,,1,13,None-None-WizardRod-None-1-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-60,Jolt,1,1,214,New,,,447,,383,74,2,,2,9,None-None-WizardRod-None-9-60-Jolt,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-70,FreeBall,1,1,214,⬇️ 105,,,447,,49,197,2,,9,4,None-None-WizardRod-None-9-70-FreeBall,,,,,,,,,,,,,,,,,,
,,WizardRod,,3-60,FreeBall,1,1,214,⬇️ 105,,,447,,279,197,2,,3,4,None-None-WizardRod-None-3-60-FreeBall,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-60,Dot,1,1,214,⬇️ 23,,,447,,383,2,2,,2,28,None-None-WizardRod-None-9-60-Dot,,,,,,,,,,,,,,,,,,
,,WizardRod,,3-85,Ball,1,1,214,New,,,447,,4,43,2,,18,10,None-None-WizardRod-None-3-85-Ball,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-60,UnderNeedle,1,1,214,New,,,447,,383,19,2,,2,13,None-None-WizardRod-None-9-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-70,Ball,1,1,214,New,,,447,,49,43,2,,9,10,None-None-WizardRod-None-9-70-Ball,,,,,,,,,,,,,,,,,,
,,WizardRod,,5-60,Hexa,1,1,214,⬇️ 156,,,447,,101,354,2,,6,2,None-None-WizardRod-None-5-60-Hexa,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-80,Ball,1,1,214,New,,,447,,6,43,2,,16,10,None-None-WizardRod-None-9-80-Ball,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-60,Level,1,1,214,New,,,447,,383,153,2,,2,5,None-None-WizardRod-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,WizardRod,,7-60,LowRush,1,1,214,⬇️ 105,,,447,,184,366,2,,5,1,None-None-WizardRod-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,Jolt,1,1,214,New,,,447,,539,74,2,,1,9,None-None-WizardRod-None-1-60-Jolt,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-50,Hexa,1,1,214,New,,,447,,24,354,2,,12,2,None-None-WizardRod-None-1-50-Hexa,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,5-60,Jolt,1,1,214,New,,,178,,101,74,3,,6,9,None-None-AeroPegasus-None-5-60-Jolt,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-60,Hexa,1,1,214,New,,,178,,184,354,3,,5,2,None-None-AeroPegasus-None-7-60-Hexa,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-70,Glide,1,1,214,New,,,178,,198,3,3,,4,25,None-None-AeroPegasus-None-1-70-Glide,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,6-60,Jolt,1,1,214,⬇️ 105,,,178,,53,74,3,,7,9,None-None-AeroPegasus-None-6-60-Jolt,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-70,LowOrb,1,1,214,New,,,178,,49,85,3,,9,8,None-None-AeroPegasus-None-9-70-LowOrb,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-70,Taper,1,1,214,New,,,178,,49,17,3,,9,14,None-None-AeroPegasus-None-9-70-Taper,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-60,Point,1,1,214,New,,,178,,184,38,3,,5,12,None-None-AeroPegasus-None-7-60-Point,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,5-60,Level,1,1,214,New,,,178,,101,153,3,,6,5,None-None-AeroPegasus-None-5-60-Level,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,5-60,Kick,1,1,214,New,,,178,,101,153,3,,6,5,None-None-AeroPegasus-None-5-60-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-70,Jolt,1,1,214,New,,,178,,198,74,3,,4,9,None-None-AeroPegasus-None-1-70-Jolt,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,4-50,Kick,1,1,214,New,,,178,,48,153,3,,10,5,None-None-AeroPegasus-None-4-50-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-70,Level,1,1,214,New,,,178,,198,153,3,,4,5,None-None-AeroPegasus-None-1-70-Level,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-60,Unite,1,1,214,New,,,178,,184,12,3,,5,15,None-None-AeroPegasus-None-7-60-Unite,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,6-60,Kick,1,1,214,New,,,178,,53,153,3,,7,5,None-None-AeroPegasus-None-6-60-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-60,RubberAccel,1,1,214,New,,,178,,383,8,3,,2,19,None-None-AeroPegasus-None-9-60-RubberAccel,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,4-50,LowRush,1,1,214,⬇️ 23,,,178,,48,366,3,,10,1,None-None-AeroPegasus-None-4-50-LowRush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,3-60,Flat,1,1,214,New,,,178,,279,6,3,,3,21,None-None-AeroPegasus-None-3-60-Flat,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,5-60,LowRush,1,1,214,New,,,178,,101,366,3,,6,1,None-None-AeroPegasus-None-5-60-LowRush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-60,Level,1,1,214,⬇️ 136,,,178,,383,153,3,,2,5,None-None-AeroPegasus-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,6-70,LowRush,1,1,214,⬇️ 105,,,178,,3,366,3,,22,1,None-None-AeroPegasus-None-6-70-LowRush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-60,DiskBall,1,1,214,New,,,178,,383,1,3,,2,34,None-None-AeroPegasus-None-9-60-DiskBall,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-50,Rush,1,1,214,New,,,178,,24,256,3,,12,3,None-None-AeroPegasus-None-1-50-Rush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-50,Point,1,1,214,New,,,178,,24,38,3,,12,12,None-None-AeroPegasus-None-1-50-Point,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,9-60,Ball,1,1,214,New,,,95,91,383,43,7,1,2,10,Metal-None-Blast-Heavy-9-60-Ball,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,1-60,Hexa,1,1,214,New,,,95,91,539,354,7,1,1,2,Metal-None-Blast-Heavy-1-60-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,9-60,Rush,1,1,214,New,,,95,91,383,256,7,1,2,3,Metal-None-Blast-Heavy-9-60-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,7-60,Kick,1,1,214,New,,,95,91,184,153,7,1,5,5,Metal-None-Blast-Heavy-7-60-Kick,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,1-70,LowRush,1,1,214,New,,,95,91,198,366,7,1,4,1,Metal-None-Blast-Heavy-1-70-LowRush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,7-60,Level,1,1,214,New,,,95,91,184,153,7,1,5,5,Metal-None-Blast-Heavy-7-60-Level,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,3-60,WallBall,1,1,214,New,,,95,91,279,10,7,1,3,16,Metal-None-Blast-Heavy-3-60-WallBall,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,6-60,Jolt,1,1,214,New,,,95,91,53,74,7,1,7,9,Metal-None-Blast-Heavy-6-60-Jolt,,,,,,,,,,,,,,,,,,
